#LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
1000000179,"CDBS","K296DA",179,"0019253780","MAPLETON LICENSE OF MEDFORD, LLC",,"FX","FM Translator","Broadcast","Broadcast",,"02/01/2022 00:00:00",,,"LICEN","LICENSED","A","Active",,"Unknown","B","Business","60 GARDEN COURT, SUITE 300","MONTEREY","CA","93940",,"FLEISCHMAN AND WALSH, LLP","MARK B. DENBO, ESQ.",,"1400 SIXTEENTH STREET, N.W.","SUITE 600","WASHINGTON","DC","20036",,"2029397900",,"MDENBO@FW-LAW.COM",,,,"FX","FM Translator","GRANTS PASS",,,"OR",,179,42,29,20.0,"N",123,18,21.0,"W",,,1000000225,16151,"SCA","CL-FM(V)","D","Directional",,,,1000000225,,"D","A Noncommercial educational operating with no more than 10W",0.045,11.000,107.10000000,107.10000000,"MHz.",,,,,966.0000000
1000000204,"CDBS","KRNO",204,"0008042418","AMERICOM LIMITED PARTNERSHIP",,"FM","FM Station","Broadcast","Broadcast","10/12/2001 11:20:33","10/01/2021 00:00:00",,"10/12/2001 11:20:33","LICEN","LICENSED","A","Active",,"Unknown","B","Business","961 MATLEY LANE, SUITE 120","RENO","NV","89502",,"LEVENTHAL, SENTER & LERMAN P.L.L.C.","DENNIS P. CORBETT, ESQ.",,,,,,,,"2024298970",,"DCORBETT@LSL-LAW.COM",,,,"FS","FM Auxiliary Transmitting Antenna","INCLINE VILLAGE",,,"NV",,204,39,15,34.0,"N",119,42,16.0,"W",,"1009893",1000000243,,"CET","Cetec JSCP-6, six sections","N","Non-Directional",,,,1000000243,,"C","A Zone II station, with exactly 100kW ERP and a class contour distance 72km-92km",15.000,5000.000,106.90000000,106.90000000,"MHz.",,,,,2267.0000000
1000000214,"CDBS","WKHQ-FM",214,"0008983033","MACDONALD GARBER BROADCASTING, INC",,"FM","FM Station","Broadcast","Broadcast",,"10/01/2020 00:00:00",,,"LICEN","LICENSED","A","Active",,"Unknown","B","Business","P.O. BOX 286","PETOSKY","MI","49770",,"BOOTH, FRERET, IMLAY & TEPPER, P.C.","CARY S. TEPPER, ESQ.",,,,,,,,"3017181818",,"TEPPERLAW@AOL.COM",,,,"FM","FM Station","CHARLEVOIX",,,"MI",,214,90,60,60.0,"N",0,60,60.0,"W",,,1000000257,,,,,,,,,1000000257,,,,,,105.90000000,105.90000000,"MHz.",,,,,
1000000250,"CDBS","WDEK",250,"0021368279","BROOMFIELD BROADCASTING OF LEXINGTON, INC.",,"AM","AM Station","Broadcast","Broadcast","10/15/2014 00:00:00","12/01/2019 00:00:00",,"10/15/2014 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","C/O 210 MONTAGUE AVENUE","GREENWOOD","SC","29649",,"PUTBRESE HUNSAKER & TRENT, P.C.","JOHN C. TRENT",,,,,,,,"5404597646",,"FCCMAN3@SHENTEL.NET",,,,"AM","AM Station","LEXINGTON",,,"SC",,250,33,58,20.0,"N",81,16,40.0,"W",74.0,"1054668",1000000275,,,,"ND3","Non Directional Antenna: Different constants day, night, critical hours",,,,1000000275,,"D","Clear and Regional channel 0.25kW-50kW stations with no protection during nighttime operations",,,1170.00000000,1170.00000000,"KHz.",,,,,
1000000264,"CDBS","WWVW-LD",264,"0008390981","ABACUS TELEVISION",,"LD","Digital Translator or Digital LPTV","Broadcast","Broadcast","06/29/2015 00:00:00","10/01/2020 00:00:00",,"06/29/2015 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","C/O BENJAMIN PEREZ, 514 CHAUTAUQUA STREET","PITTSBURGH","PA","15214-3509",,"ABACUS COMMUNICATIONS COMPANY","BENJAMIN PEREZ",,,,,,,,"2028414104",,"ABACUSCOMMCO@VERIZON.NET",,,,"LD","Digital Translator or Digital LPTV","WHEELING",,,"WV",,264,40,3,41.0,"N",80,45,8.0,"W",,"1035146",1000000293,20786,"SCA","CL-713","D","Directional",,,,1000000293,,,,1.500,,180.00000000,186.00000000,"MHz.",,,,,391.6000000
1000000308,"CDBS","KTXS-TV",308,"0009405226","BLUESTONE LICENSE HOLDINGS INC.","BLUESTONE LICENSE HOLDINGS INC.","DT","Digital TV","Broadcast","Broadcast","06/16/2009 09:54:23","08/01/2022 00:00:00",,"06/16/2009 09:54:23","LICEN","LICENSED","A","Active",,"Unknown","B","Business","EMPIRE STATE BUILDING, 350 FIFTH AVENUE, SUITE 5340","NEW YORK","NY","10118",,"HOGAN & HARTSON L.L.P.","MACE J. ROSENSTEIN, ESQ.",,"555 THIRTEENTH STREET, NW",,"WASHINGTON","DC","20004-1109",,"2026375877",,"MJROSENSTEIN@HHLAW.COM",,,,"DT","Digital TV","SWEETWATER",,,"TX",,308,32,24,48.0,"N",100,6,25.0,"W",,"1052057",1000000332,83603,"DIE","TFU-24DSB-H(C)","D","Directional",,,"H",1000000332,,,,530.000,,506.00000000,506.00000000,"MHz.",,,,,755.9000000
1000000478,"CDBS","WVAC-FM",478,"0010619799","ADRIAN COLLEGE",,"FM","FM Station","Broadcast","Broadcast","08/03/2015 00:00:00","10/01/2020 00:00:00",,"08/03/2015 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","110 S. MADISON","ADRIAN","MI","49221",,"IRWIN, CAMPBELL & TANNENWALD, P.C.","MATTHEW H. MCCORMICK",,,,,,,,"2027280400",,"MMCCORMICK@ICTPC.COM",,,,"FM","FM Station","ADRIAN",,,"MI",,478,41,53,49.0,"N",84,3,40.0,"W",,,1000000503,,"ERI","FM100-2","N","Non-Directional",,,,1000000503,,"D","A Noncommercial educational operating with no more than 10W",0.087,153.000,107.90000000,107.90000000,"MHz.",,,,,
1000000501,"CDBS","WVBZ",501,"0001587971","CLEAR CHANNEL BROADCASTING LICENSES, INC.","CLEAR CHANNEL","FM","FM Station","Broadcast","Broadcast",,"12/01/2019 00:00:00",,,"LICEN","LICENSED","A","Active",,"Unknown","B","Business","2625 SOUTH MEMORIAL DRIVE, SUITE A","TULSA","OK","74129",,"CLEAR CHANNEL","TROY LANGHAM",,,,,,,,"9186644581",,"FCCCONTACT@CLEARCHANNEL.COM",,,,"FS","FM Auxiliary Transmitting Antenna","CLEMMONS",,,"NC",,501,36,22,36.4,"N",80,22,8.6,"W",,"1205275",1000000517,,"ERI","SHPX-6AE","N","Non-Directional",,,,1000000517,,"C1","A Zone II station, with 50kW-100kW ERP and a class contour distance 52km-72km",19.500,7000.000,105.70000000,105.70000000,"MHz.",,,,,
1000000586,"CDBS","WVAD-LD",586,"0001843697","WORD OF GOD FELLOWSHIP, INC.","WORD OF GOD FELLOWSHIP, INC.","LD","Digital Translator or Digital LPTV","Broadcast","Broadcast","04/24/2002 12:56:28","10/01/2020 00:00:00",,"04/24/2002 12:56:28","LICEN","LICENSED","A","Active",,"Unknown","B","Business","3901 HIGHWAY 121 SOUTH","BEDFORD","TX","76021",,,"ROBERT E. KELLY",,,,,,,,"7034473117",,"REKELLY@TIDALWAVE.NET",,,,"LD","Digital Translator or Digital LPTV","CHESAPEAKE",,,"VA",,586,36,48,37.0,"N",76,16,58.0,"W",,"1053614",1000000558,17722,"ANT","ACS16A","D","Directional",,,,1000000558,,,,15.000,,536.00000000,536.00000000,"MHz.",,,,,2.7000000
1000000590,"CDBS","WTOC-TV",590,"0014585657","WTOC LICENSE SUBSIDIARY, LLC",,"DT","Digital TV","Broadcast","Broadcast","06/16/2009 09:46:46","04/01/2021 00:00:00",,"06/16/2009 09:46:46","LICEN","LICENSED","A","Active",,"Unknown","B","Business","201 MONROE STREET, RSA TOWER, 20TH FLOOR","MONTGOMERY","AL","36104",,"COVINGTON & BURLING","JENNIFER A. JOHNSON",,"1201 PENNSYLVANIA AVE., N.W.",,"WASHINGTON","DC","20004-2401",,"2026625552",,"JJOHNSON@COV.COM",,,,"DT","Digital TV","SAVANNAH",,,"GA",,590,32,3,14.0,"N",81,21,1.0,"W",,"1018626",1000000569,43004,"DIE","TFU-24DSB-M(C)","D","Directional",,,"H",1000000569,,,,422.000,,198.00000000,198.00000000,"MHz.",,,,,5.4000000
